claim_id,exhibit,claim,value,ci95,n,source_json,json_path,code,sha256_16,path_status
C38a,T4,"Conditional placebo, top tercile: placebo mean.",0.0101,,,harness30/out/I42.json,estimates.results.T3 고관성.null_mean,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
C38b,T4,"Randomization-inference p, top tercile.",0,,,harness30/out/I42.json,estimates.results.T3 고관성.RI_p,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
C39,T4,"Conditional placebo, gradient: treated value (null range in the CI column).",0.4015,"[-0.212, 0.2691]",,harness30/out/I42.json,estimates.results.T3−T1 기울기.actual,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
C39a,T4,"Conditional placebo, gradient: placebo mean.",0.0141,,,harness30/out/I42.json,estimates.results.T3−T1 기울기.null_mean,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
C39b,T4,"Randomization-inference p, gradient.",0.005,,,harness30/out/I42.json,estimates.results.T3−T1 기울기.RI_p,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
C40,T4,"Conditional placebo, bottom tercile sits inside its own null.",0.0162,"[-0.1146, 0.1169]",200,harness30/out/I42.json,estimates.results.T1 저관성.actual,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
C40a,T4,"Randomization-inference p, bottom tercile.",0.34,,,harness30/out/I42.json,estimates.results.T1 저관성.RI_p,P014_upgrade_package/harness30/i42_placebo_lograte.py,37c78dabd67610a6,GO
C41,T6,Share of no-hire months: actual change.,-0.0466,"[-0.0675, -0.027]",346,harness30/out/I38.json,estimates.panelA_excess.actual.DiD,P014_upgrade_package/harness30/i38_excess_zeros.py,1c0e40e53a4c6ffc,KILL
C41a,T6,Share of no-hire months: change implied by the volume increase alone.,-0.0518,"[-0.0699, -0.0326]",,harness30/out/I38.json,estimates.panelA_excess.expected_uniform.DiD,P014_upgrade_package/harness30/i38_excess_zeros.py,1c0e40e53a4c6ffc,KILL
C42,T6,"Excess no-hire months, over and above the volume benchmark.",0.0052,"[-0.0082, 0.0189]",346,harness30/out/I38.json,estimates.panelA_excess.excess_uniform.DiD,P014_upgrade_package/harness30/i38_excess_zeros.py,1c0e40e53a4c6ffc,KILL
C43,T6,Excess longest no-hire spell.,0.0122,"[-0.133, 0.1608]",346,harness30/out/I39.json,estimates.ms.excess.DiD,P014_upgrade_package/harness30/i39_spell_benchmark.py,05147d43c9080766,KILL
C44,T6,Excess concentration of hiring across months.,0.0061,"[-0.0064, 0.019]",342,harness30/out/I39.json,estimates.hhi.excess.DiD,P014_upgrade_package/harness30/i39_spell_benchmark.py,05147d43c9080766,KILL
C44a,OA,Excess share in the two busiest months (equivalence fails at the knife edge).,0.0086,"[-0.0082, 0.025]",342,harness30/out/I39.json,estimates.t2.excess.DiD,P014_upgrade_package/harness30/i39_spell_benchmark.py,05147d43c9080766,KILL
C45,T6,Excess no-hire share over a 36-month window.,0.0088,"[-0.0058, 0.022]",180,harness30/out/I40.json,estimates.panelB_36m_clustering.x.DiD,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C45a,T6,Excess longest spell over a 36-month window.,0.2971,"[-0.1173, 0.7272]",,harness30/out/I40.json,estimates.panelB_36m_clustering.xms.DiD,P014_upgrade_package/harness30/i40_salvage.py,928e09da54e19b5a,GO
C46,OA,The dormancy gradient does not appear in the excess.,0.0032,"[-0.0321, 0.0365]",,harness30/out/I38.json,estimates.panelC_by_inertia.T3_T1_excess.diff,P014_upgrade_package/harness30/i38_excess_zeros.py,1c0e40e53a4c6ffc,KILL
C47,T5,"Control transfer: buyout minus growth, log hiring rate.",0.0941,"[-0.05, 0.237]",,harness30/out/I43.json,estimates.panelA_deal_type.diff,P014_upgrade_package/harness30/i43_invariance_lograte.py,57ac89b90acbed58,PARTIAL
C48,T5,"Acquired stake: slope per percentage point, log hiring rate.",0.000598,"[-0.0011, 0.0025]",208,harness30/out/I43.json,estimates.panelB_stake_dose.linear.slope,P014_upgrade_package/harness30/i43_invariance_lograte.py,57ac89b90acbed58,PARTIAL
C49,T5,"Majority minus minority stake, log hiring rate.",0.1162,"[-0.0857, 0.3171]",,harness30/out/I43.json,estimates.panelB_stake_dose.majority_vs_minority.diff,P014_upgrade_package/harness30/i43_invariance_lograte.py,57ac89b90acbed58,PARTIAL
C50,T5,"Sponsor identity: leave-one-out prediction, log hiring rate.",-0.3588,"[-0.7583, -0.0434]",210,harness30/out/I43.json,estimates.panelC_gp_loo.loo_beta,P014_upgrade_package/harness30/i43_invariance_lograte.py,57ac89b90acbed58,PARTIAL
C50a,T5,"Permutation p for the sponsor component, log hiring rate.",0.988,,,harness30/out/I43.json,estimates.panelC_gp_loo.perm_p,P014_upgrade_package/harness30/i43_invariance_lograte.py,57ac89b90acbed58,PARTIAL
C51,T5,"Sponsor experience: top minus bottom tercile, log hiring rate.",0.0842,"[-0.094, 0.2642]",,harness30/out/I43.json,estimates.panelD_gp_experience.E3_E1.diff,P014_upgrade_package/harness30/i43_invariance_lograte.py,57ac89b90acbed58,PARTIAL
C52,T3,Employment is 8.8% higher twelve months after the transaction.,0.0878,"[0.0462, 0.13]",367,harness30/out/I35.json,estimates.canonical.A2_rel12.est,P014_upgrade_package/harness30/i35_canonical.py,829ec3501911b2de,PARTIAL
C53,OA,Untreated control firms as pseudo-events: dormancy slope (should be zero).,0.0189,"[-0.0973, 0.1349]",1339,harness30/out/I44.json,estimates.panelB_untreated_replication.dorm_alone.coef,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C54,T4,Untreated pseudo-event placebo: dormant minus active (compare with the headline gradient).,0.0137,"[-0.0648, 0.0872]",1339,harness30/out/I44.json,estimates.panelB_untreated_replication.dormant_minus_active.diff,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C55,OA,The conditional sign reversal is reproduced among untreated firms.,-0.4502,"[-0.6766, -0.244]",291,harness30/out/I44.json,estimates.panelB_untreated_replication.dorm_given_preN.coef,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C56,OA,Regressing the outcome on pre-deal volume measured in the outcome's own base window.,-0.205,"[-0.2753, -0.1386]",,harness30/out/I44.json,estimates.panelA_mechanical.y_on_near.coef,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C57,OA,The same regression with a non-overlapping window.,-0.1275,"[-0.1883, -0.0649]",,harness30/out/I44.json,estimates.panelA_mechanical.y_on_far.coef,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C58,T4,Convergent validity: share of no-hire months.,0.3472,"[0.1607, 0.5313]",301,harness30/out/I44.json,estimates.panelC_convergent_validity.dorm.dormant_minus_active.diff,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C59,T4,Convergent validity: log total pre-deal hires.,0.3713,"[0.1669, 0.5622]",301,harness30/out/I44.json,estimates.panelC_convergent_validity.lN.dormant_minus_active.diff,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C60,T4,Convergent validity: longest pre-deal no-hire spell.,0.2605,"[0.0671, 0.4451]",301,harness30/out/I44.json,estimates.panelC_convergent_validity.mspell.dormant_minus_active.diff,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C61,T4,Convergent validity: log pre-deal hiring rate (at the boundary).,0.1676,"[-0.0052, 0.3573]",301,harness30/out/I44.json,estimates.panelC_convergent_validity.lr.dormant_minus_active.diff,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C62,T4,Dormancy survives conditioning on pre-deal employment growth (scale account).,0.4099,"[0.0778, 0.7534]",256,harness30/out/I44.json,estimates.panelD_scale_vs_release.dorm.coef,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C63,T4,Pre-deal employment growth is not detected on its own.,-0.3663,"[-0.8015, 0.0994]",,harness30/out/I44.json,estimates.panelD_scale_vs_release.growth_alone.coef,P014_upgrade_package/harness30/i44_state_variable.py,0b60364cce3e4ae0,GO
C64,T5,Buyout targets are more dormant than growth targets (composition).,0.0948,,,harness30/out/I45.json,estimates.panelA_composition.dorm_buyout_vs_growth,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C65,T5,"Deal type, common sample, unadjusted.",0.1218,"[-0.0494, 0.2776]",,harness30/out/I45.json,estimates.panelB_covariate_adjusted.deal_type.raw.diff,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C66,T5,"Deal type, covariate-adjusted.",0.0475,"[-0.1062, 0.1958]",,harness30/out/I45.json,estimates.panelB_covariate_adjusted.deal_type.adjusted.diff,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C67,T5,"Majority minus minority, covariate-adjusted.",0.0397,"[-0.1761, 0.2674]",,harness30/out/I45.json,estimates.panelB_covariate_adjusted.stake_maj_min.adjusted.diff,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C68,T5,"Sponsor experience, covariate-adjusted.",0.0692,"[-0.1278, 0.2609]",,harness30/out/I45.json,estimates.panelB_covariate_adjusted.gp_experience.adjusted.diff,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C69,T5,"Acquired stake slope, covariate-adjusted.",0.000703,"[-0.0015, 0.0027]",181,harness30/out/I45.json,estimates.panelB_covariate_adjusted.stake_slope.adjusted.slope,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C70,T5,Deal characteristics jointly explain this share of the variance in responses.,0.0092,,180,harness30/out/I45.json,estimates.panelC_joint_test.r2_deal,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C70a,T5,Permutation p for the joint explanatory power of deal characteristics.,0.6425,,,harness30/out/I45.json,estimates.panelC_joint_test.perm_p_deal,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C71,T5,Pre-deal dormancy alone explains this share of the variance.,0.0286,,180,harness30/out/I45.json,estimates.panelC_joint_test.r2_state,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C71a,T5,Permutation p for pre-deal dormancy.,0.025,,,harness30/out/I45.json,estimates.panelC_joint_test.perm_p_state,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C72,T5,Incremental variance from adding deal characteristics on top of dormancy.,0.0068,,,harness30/out/I45.json,estimates.panelC_joint_test.incremental_deal_over_state,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C72a,T5,Incremental variance from adding dormancy on top of deal characteristics.,0.0261,,,harness30/out/I45.json,estimates.panelC_joint_test.incremental_state_over_deal,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C73,T5,Out-of-sample R2 of deal characteristics (five-fold cross-fitting).,-0.0269,,180,harness30/out/I45.json,estimates.panelD_oos_prediction.oos_r2_deal,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C74,T5,Out-of-sample R2 of pre-deal dormancy.,-0.0168,,,harness30/out/I45.json,estimates.panelD_oos_prediction.oos_r2_state,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C75,T5,"Out-of-sample difference, dormancy minus deal characteristics.",0.0101,"[-0.0349, 0.1173]",,harness30/out/I45.json,estimates.panelD_oos_prediction.state_minus_deal,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C76,T5,"Sponsor leave-one-out, common sample.",-0.2675,,189,harness30/out/I45.json,estimates.panelE_gp_loo_robustness.loo_raw,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C76a,OA,Sponsor leave-one-out after winsorising at 5/95.,-0.2387,,,harness30/out/I45.json,estimates.panelE_gp_loo_robustness.loo_winsor_5_95,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C76b,OA,Sponsor leave-one-out after dropping the five most influential events.,-0.1751,,,harness30/out/I45.json,estimates.panelE_gp_loo_robustness.loo_drop_top5,P014_upgrade_package/harness30/i45_power_invariance.py,c5e11cb7385c698b,PARTIAL
C77,T4,"State gradient in the log hiring rate, primary specification (winsorized 5/95).",0.4827,,301,harness30/out/I53.json,estimates.specs.main_winsor_5_95.observed,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C77a,T4,Randomization null mean for the primary specification.,0.1173,"[-0.2041, 0.4592]",2000,harness30/out/I53.json,estimates.specs.main_winsor_5_95.null_mean,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C77b,T4,"Randomization-inference p-value, primary specification.",0.0175,,,harness30/out/I53.json,estimates.specs.main_winsor_5_95.RI_p_corrected,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C77c,T4,Standardized distance of the observed gradient from the null.,2.2,,,harness30/out/I53.json,estimates.specs.main_winsor_5_95.z,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C77d,T4,"Null standard deviation, primary specification.",0.1664,,,harness30/out/I53.json,estimates.specs.main_winsor_5_95.null_sd,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C78,T4,"Gradient, unwinsorized.",0.565,,,harness30/out/I53.json,estimates.specs.raw.observed,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C78a,T4,"Randomization-inference p, unwinsorized.",0.0275,,,harness30/out/I53.json,estimates.specs.raw.RI_p_corrected,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C78b,T4,"Null mean, unwinsorized.",0.1388,,,harness30/out/I53.json,estimates.specs.raw.null_mean,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C78c,T4,"Null SD, unwinsorized.",0.2117,,,harness30/out/I53.json,estimates.specs.raw.null_sd,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C79,T4,"Gradient, winsorized 1/99.",0.5468,,,harness30/out/I53.json,estimates.specs.winsor_1_99.observed,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C79a,T4,"Randomization-inference p, winsorized 1/99.",0.019,,,harness30/out/I53.json,estimates.specs.winsor_1_99.RI_p_corrected,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C79b,T4,"Null mean, winsorized 1/99.",0.1256,,,harness30/out/I53.json,estimates.specs.winsor_1_99.null_mean,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C79c,T4,"Null SD, winsorized 1/99.",0.197,,,harness30/out/I53.json,estimates.specs.winsor_1_99.null_sd,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C80,T4,"Gradient, winsorized 10/90.",0.4282,,,harness30/out/I53.json,estimates.specs.winsor_10_90.observed,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C80a,T4,"Randomization-inference p, winsorized 10/90.",0.016,,,harness30/out/I53.json,estimates.specs.winsor_10_90.RI_p_corrected,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
C80b,T4,"Null mean, winsorized 10/90.",0.1064,,,harness30/out/I53.json,estimates.specs.winsor_10_90.null_mean,P014_upgrade_package/harness30/i53_randomization.py,8a0d17843ae7b963,GO
