id,tier,title,gates,depends_on,status,note,wave
I-31,1,고관성 조건부 위약 (placebo-in-units | high-inertia),G6,I-25,GO,"최대 위협 제거. 고관성 위약 귀무 -0.0017[-0.0581,0.0441] vs 실제 -0.1110 RI p=0.0000. perm/tran 분해는 1SD -0.0319 vs -0.0326 동률 -> 판별 불가(양쪽 보고, 어느 쪽도 미주장)",W2b
I-32,1,효과 감쇠 (1회성 리뷰 vs 영구 체제변화),G6,I-25,PARTIAL,"1회성 리뷰 모형 기각(감쇠 미검출). 3년 지속 Y1 -0.046✓ Y2 -0.0532✓ Y3 -0.062✓. 부산물: 분기ES 사전 평탄+q2부터 유의 = Figure 1 / 점진 onset이 선택가설 반증 논거(I-15,I-31과 독립)",W2b
I-33,0,핵심축 검증 — 수준 vs 빈도 식별력,G6,,GO,'수준=선택' 기각. 수준도 고관성 위약 통과 RI p=0.0000. 빈도 3/3 vs 수준 2/3 근소우세 -> 주 결과 근거는 '선택여부'가 아니라 '방어범위',W0
I-34,0,외연/내연 마진 분해 (71% 대체),G6,,GO,'전적으로 외연' 기각. dlog 외연 +0.0999✓ 내연 +0.0656✓ 외연비중 0.604. 기존 71% 통계량은 분모상쇄로 폭발(-4.35) -> 폐기,W0
I-35,0,정본 수치 전수 재계산 (원고 수치 단일 출처),G6,,GO,기록 6건 중 5건 정확일치. 오류는 외연비중 1건뿐. T3-T1 표류는 사양차이로 판명. 원고는 이 절에서만 수치 인용,W0
I-36,0,hazard 회귀표 (중첩 4사양),G6,,GO,"저널 표 포맷용 적합통계. 주사양 pseudo-R2 0.505, clusters 379",W0
I-37,0,균형표 (Table 1 Panel D),G6,,GO,매칭 후 최대 |ND| 0.095 <0.25. 매칭 전/후 대비로 매칭 성과 제시,W0
I-38,0,빈도 기계성 검정 (리뷰 MC1),G6,,KILL,🔴 KILL. 초과 무채용 등가성 성립 -> 외연마진 전부 총량증가의 기계적 결과,W0
I-39,0,spell·집중도 벤치마크,G6,,KILL,"🔴 KILL. 4지표 모두 초과분 0 -> cadence 서사 전면 철회, 제목 변경 필요",W0
I-40,0,조절자 천장효과 + 36개월 집중도,G6,,GO,로그에서 조절자 생존(+0.347✓). 36개월서도 timing null 견고,W0
I-41,0,조절자 방어 (리뷰 §5.4),G6,,PARTIAL,유효 4관문 중 3(A·C·D). B 잔차화 미검출. **E 는 무효 게이트 — 통제변수가 종속변수 구성요소(I-44 가 규명)**. I41_RECLASS.json,W0
I-42,0,Δlog 조건부 위약 (최종판별),G6,,GO,🎯 T3 위약 +0.0101 vs 실제 +0.4177 RI p=0.0000; 기울기 RI p=0.005,W0
I-43,0,불변성 재계산 (Δlog 채용률),G6 G7 G8 G9,I-38 I-39 I-40,PARTIAL,딜유형 +0.094 등가✓ · 지분 +0.0006 · GP LOO -0.359 유의음수(순열 p 0.988) · 경험 +0.084. §8 하향,W0
I-44,0,상태변수 방어 (I-41 Panel E 정체 규명),G6,I-41,GO,미처치 1339 유사처치에서 조건부 부호반전 재현(-0.450) · 무조건 기울기는 0(+0.019) → 반전은 산술 인공물. 수렴타당도 3/4,W0
I-45,0,§8 검정력 재구성 (예측력 대결 + 공변량 조정),G6 G7 G8,I-43,PARTIAL,거래특성 결합 R2 0.0092(순열 p 0.64) vs 휴면 0.0406(p 0.013) · OOS -0.027 vs +0.013 · 조정 후 등가성 3/3,W0
I-46,0,휴면 vs 사전 물량 — 동일 비겹침 창 경마 (리뷰3 MC1),G6,I-44,PARTIAL,"휴면의 예측력은 전부 물량 성분. 물량정화 휴면 3분위 +0.003[-0.18,+0.19] · 물량5분위FE -0.066 · 잔차화 +0.063. 6관문 중 1",W0
I-47,0,상태변수 확정 (FWL 정합 조정 + 위약),G6,I-46,GO,"★ 상태변수 = 사전 채용률. FWL조정 +0.5650[0.210,0.968]✓ (휴면 +0.352[-0.079,0.829]✗). 미처치 위약 -0.0004",W0
I-48,0,결과대상 construct validity + 표본 flow (리뷰3 MC3),G6,I-47,PARTIAL,flow 752=168+120+75+10+379 정합✓ · stock-flow 상대오차 중앙 1.4% · 대오차월 배제 시 2/4 미검출(한계),W0
I-49,0,대조 재사용 감사 + 사전 재무제약 (리뷰3 §9.4·§8-4),G6 G7,I-47,GO,"재사용 최대 2·94.7% 1회 → 추론 영향 없음. 보수적 CI [0.184,0.941]✓. 사전 재무제약 4지표 전부 gradient 없음",W0
I-50,0,검정력 제고 — 풀링 ANCOVA·PPML·강건추정·암묵채용,G6,I-47,PARTIAL,winsor5/95 로 CI 반폭 27% 축소(+0.5372). 암묵채용 +0.4358✓. 고용가중 +1.4633✓. ANCOVA/PPML 은 추정대상이 달라 I-51 로 판별,W0
I-51,0,사양 판별 — 차분 강제 vs 자유 lag (처치·위약 동일사양),G6,I-50,PARTIAL,"★ 자유 lag 사양은 **위약에서도 -0.4357 유의 음수** — null 은 '효과없음'이 아니라 기계적 기준선. 처치-위약 +0.3834[0.029,0.738]✓",W0
I-52,0,헤드라인 확정 — 처치−위약 gradient 대비,G6,I-51,GO,"주사양 차이 +0.3626[0.0042,0.7631]✓ 경계. MDE 0.542 vs 관측 0.363 → 검정력 ~50%. 5사양 전부 양수",W0
I-53,0,무작위화 추론 — 위약 분포를 귀무로 직접 사용,G6,I-52,GO,"★ 주사양 관측 +0.4827 vs 귀무 +0.1173(SD 0.166), **RI p=0.0175** z=2.2. 5사양 중 4 유의, 5번째 0.057 경계",W0
I-54,0,남은 한계 보완 — 2차 결과대상·층화 RI·RI 기준 검정력,G6,I-53,PARTIAL,층화 RI 실패(귀무SD +14%). RI 기준 MDE 0.414 관측초과 0.365=0.88배(부트 0.67배보다 나음). ★고용 gradient 부재,W0
I-55,0,재배치 가설 — 채용·이직·총유량의 상태 gradient,G6,I-54,PARTIAL,채용 +0.483✓ · 이직 +0.213(p .253)✗ · 총유량 +0.281(p .082)경계 · 순증 +0.083✗ · 고용 -0.029(z-2.23). 재배치 미확인,W0
I-56,0,검정력 제고 — 상태균형 매칭 + 거울 위약 + 효율 개선,G6,I-53,GO,★ 설계 교정: 상태균형+거울 z 3.15 (현행 1.40). 분할표본 IV 감쇠비 0.437 → OLS 는 하한. 24개월창·역분산가중은 개선 없음,W0
I-57,0,두 번째 추정량(hazard) + 재배치 쌍대비,G6,I-56,PARTIAL,채용 z3.87 · churn z3.08 · 고용 z-2.60(반대방향 유의) · 쌍대비 채용-고용 z4.56. 이직 미검출(z1.17). hazard 3분위는 완전분리(균형매칭시 셀내 상수),W0
I-58,0,설계 교정 감사 — 상태균형 매칭의 이득 검증,G6,I-56,GO,"★ 공통표본 286 에서 현행 +0.4698(z2.07) vs 균형 +0.7101(z3.91) — 표본 아닌 설계. 분해: 처치 자기변화 동일(+0.8425), 대조군 기울기 +0.2950→+0.0056",W0
I-59,0,분모 오염 검정 (채용건수 vs 채용률),G6,I-58,GO,★ 채용건수(분자만) +0.6315 z2.56 · 고용통제 시 +0.6957 z4.20 — 비율 gradient 의 91% 가 분자. 분모 인공물 아님,W0
I-60,0,교정 설계 사양곡선,G6,I-58,GO,5사양 전부 유의 (RI p 0.0005~0.0125). 주사양 winsor5/95 +0.7101 z 3.96,W0
I-61,0,상태별 사전추세 (리뷰4 §8 · 리뷰3 MC2-3),G6,I-60,GO,"사전 4분기 전부 미검출, 평균 -0.0121 [-0.163, +0.131], 최대 |0.087|. 사후 평균 +0.126. 등가성 미성립",W0
I-62,0,검정력 라운드 3 — 결합검정·사전추세 기울기·매칭 변형,G6,I-60,GO,"★ 결합 RI (채용,churn,고용) 마할라노비스 28.35 vs 귀무 p95 7.60 → p 0.0005. 매칭 5변형 전부 유의(z 2.65~4.12). 사전추세 기울기도 등가성 미성립",W0
I-63,0,표본 확대 — 탈락 계측과 회수 레버,G6,I-62,GO,"탈락 53 상태창·17 셀·22 결과창. 상태창 ≥6개월 허용 시 n 286→310, z 3.96→4.57. 회수 24건 효과 +0.112(기존 +0.195) — 선택편의 반대방향. A+B+C 결합은 악화(z 2.29)",W0
I-64,0,사전추세 — 12개월 해상도 · 위약 상대 RI · gradient HonestDiD,G6,I-62,GO,"★ 12개월 해상도 사전 gradient +0.107 [−0.196, +0.435] vs 사후 +0.725 → 등가성 성립(여유 0.53/0.29). HonestDiD M̄ 3.13. 위약 사전 gradient +0.391 > 처치 +0.107 (z −2.09)",W0
